Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011566 | lrm: 1.00 | dt: 18850ms | tok/sec: 6,953 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.153020 | lrm: 1.00 | dt: 289ms | tok/sec: 453,530 | mfu: 12.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.960400 | lrm: 1.00 | dt: 198ms | tok/sec: 662,221 | mfu: 18.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.769751 | lrm: 1.00 | dt: 198ms | tok/sec: 662,332 | mfu: 18.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.392467 | lrm: 1.00 | dt: 199ms | tok/sec: 657,494 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.067028 | lrm: 1.00 | dt: 200ms | tok/sec: 656,020 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.795482 | lrm: 1.00 | dt: 198ms | tok/sec: 661,689 | mfu: 18.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.560696 | lrm: 1.00 | dt: 199ms | tok/sec: 658,224 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.357555 | lrm: 1.00 | dt: 199ms | tok/sec: 659,752 | mfu: 18.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.174063 | lrm: 1.00 | dt: 201ms | tok/sec: 653,441 | mfu: 18.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.008564 | lrm: 1.00 | dt: 200ms | tok/sec: 654,641 | mfu: 18.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.860415 | lrm: 1.00 | dt: 200ms | tok/sec: 656,464 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.731371 | lrm: 1.00 | dt: 199ms | tok/sec: 658,892 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.615690 | lrm: 1.00 | dt: 201ms | tok/sec: 653,672 | mfu: 18.3% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.509761 | lrm: 1.00 | dt: 201ms | tok/sec: 651,961 | mfu: 18.2% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.418608 | lrm: 1.00 | dt: 201ms | tok/sec: 652,984 | mfu: 18.3% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 6.337365 | lrm: 1.00 | dt: 200ms | tok/sec: 655,645 | mfu: 18.3% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 6.258325 | lrm: 1.00 | dt: 199ms | tok/sec: 658,342 | mfu: 18.4% | epoch: 1 | remaining: 299s    
step 00018 (0.5%) | loss: 6.188087 | lrm: 1.00 | dt: 201ms | tok/sec: 653,469 | mfu: 18.3% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 6.124761 | lrm: 1.00 | dt: 201ms | tok/sec: 652,530 | mfu: 18.3% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 6.070057 | lrm: 1.00 | dt: 201ms | tok/sec: 651,631 | mfu: 18.2% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 6.019387 | lrm: 1.00 | dt: 199ms | tok/sec: 657,620 | mfu: 18.4% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.971529 | lrm: 1.00 | dt: 199ms | tok/sec: 657,893 | mfu: 18.4% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 5.925966 | lrm: 1.00 | dt: 201ms | tok/sec: 652,221 | mfu: 18.2% | epoch: 1 | remaining: 297s    
step 00024 (0.9%) | loss: 5.885998 | lrm: 1.00 | dt: 201ms | tok/sec: 651,258 | mfu: 18.2% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.841129 | lrm: 1.00 | dt: 201ms | tok/sec: 651,771 | mfu: 18.2% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.805664 | lrm: 1.00 | dt: 200ms | tok/sec: 656,255 | mfu: 18.4% | epoch: 1 | remaining: 297s    
step 00027 (1.1%) | loss: 5.774820 | lrm: 1.00 | dt: 200ms | tok/sec: 654,743 | mfu: 18.3% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.746041 | lrm: 1.00 | dt: 200ms | tok/sec: 655,558 | mfu: 18.3% | epoch: 1 | remaining: 296s    
step 00029 (1.2%) | loss: 5.714985 | lrm: 1.00 | dt: 200ms | tok/sec: 653,998 | mfu: 18.3% | epoch: 1 | remaining: 296s    
step 00030 (1.3%) | loss: 5.686126 | lrm: 1.00 | dt: 201ms | tok/sec: 651,016 | mfu: 18.2% | epoch: 1 | remaining: 296s    
